===== Stardust (USA) =====
Stardust (USA), QF 6-pdr Mk. IIIA, 4
Stardust (USA), 105 mm AT Howitzer M3, 5
Stardust (USA), 105 mm Howitzer M4, 5
Stardust (USA), 105 mm M4, 5
Stardust (USA), 105 mm M4 (M4A1), 5
Stardust (USA), 155 mm Howitzer M1, 5
Stardust (USA), 155 mm Howitzer M1 (M41), 5
Stardust (USA), 3-inch AT Gun M7, 5
Stardust (USA), 3-inch Gun M7, 5
Stardust (USA), 37 mm dual automatic cannon, 5
Stardust (USA), 57 mm Gun M1, 5
Stardust (USA), 75 mm Gun M17, 5
Stardust (USA), 75 mm Gun M6V, 5
Stardust (USA), 75 mm Gun T13E1, 5
Stardust (USA), 76 mm AT Gun M1A2 (M10), 5
Stardust (USA), 76 mm AT Gun M1A2 (M36), 5
Stardust (USA), 76 mm AT Gun M1A2/18, 5
Stardust (USA), 76 mm Gun M1A1 (M4A1), 5
Stardust (USA), 76 mm Gun M1A1 (M4A3), 5
Stardust (USA), 76 mm Gun M1A1 (T1), 5
Stardust (USA), 76 mm Gun M1A1 RMT, 5
Stardust (USA), 76 mm Gun T91E5, 5
Stardust (USA), 76 mm Gun T94, 5
Stardust (USA), 155 mm Gun M1918M1, 6
Stardust (USA), 155 mm Howitzer M45, 6
Stardust (USA), 75 mm Gun T94N, 6
Stardust (USA), 76 mm AT Gun M1A1, 6
Stardust (USA), 76 mm Gun M1A1, 6
Stardust (USA), 76 mm Gun M1A1, 6
Stardust (USA), 76 mm Gun M1A1E20, 6
Stardust (USA), 76 mm Gun M1A1L, 6
Stardust (USA), 76 mm Gun M1A2, 6
Stardust (USA), 76 mm Gun M1A2, 6
Stardust (USA), 76 mm Gun M1A2, 6
Stardust (USA), 76 mm Gun M1A2 (CMCD), 6
Stardust (USA), 76 mm Gun M1A2E8, 6
Stardust (USA), 76 mm Gun M1A2L, 6
Stardust (USA), 76 mm Gun T91, 6
Stardust (USA), 90 mm AT Gun M3 (M36), 6
Stardust (USA), 90 mm AT Gun M3/18, 6
Stardust (USA), 90 mm AT Gun M3/2, 6
Stardust (USA), 90 mm AT Gun T15E2 (T25 AT), 6
Stardust (USA), 90 mm Gun M3 (M6), 6
Stardust (USA), 90 mm Gun M3 (T29), 6
Stardust (USA), 90 mm Gun M41 P, 6
Stardust (USA), 90 mm Gun M41 Y, 6
Stardust (USA), 105 mm AT Gun T5E1 (T25 AT), 7
Stardust (USA), 105 mm AT Gun T5E1 (T28), 7
Stardust (USA), 105 mm AT Gun T5E1/28P, 7
Stardust (USA), 105 mm Gun T5, 7
Stardust (USA), 105 mm Gun T5E1, 7
Stardust (USA), 155 mm Gun M1A1, 7
Stardust (USA), 155 mm Gun M1A1 (M12), 7
Stardust (USA), 75 mm Ares MC-AAAC, 7
Stardust (USA), 76 mm Gun M32, 7
Stardust (USA), 76 mm Gun T185, 7
Stardust (USA), 76 mm Gun T185, 7
Stardust (USA), 76 mm Gun T185 (CMCD), 7
Stardust (USA), 76 mm Gun T185E, 7
Stardust (USA), 76 mm Gun T185E1, 7
Stardust (USA), 90 mm AT Gun M3T, 7
Stardust (USA), 90 mm AT Gun T15E2/2, 7
Stardust (USA), 90 mm Gun M3, 7
Stardust (USA), 90 mm Gun M3A1, 7
Stardust (USA), 90 mm Gun M3E, 7
Stardust (USA), 90 mm Gun M3E26, 7
Stardust (USA), 90 mm Gun T15E2, 7
Stardust (USA), 90 mm Gun T208 (rifled), 7
Stardust (USA), 90 mm Gun T208 (rifled) HLY, 7
Stardust (USA), 90 mm Gun T7, 7
Stardust (USA), 90mm Gun M3, 7
Stardust (USA), OQF 17-pdr Gun Mk. VIIA, 7
Stardust (USA), 105 mm AT Gun T5E1 (T95), 8
Stardust (USA), 105 mm Gun T254 Y III, 8
Stardust (USA), 105 mm Gun T254 Y VI, 8
Stardust (USA), 105 mm Gun T5E1/45, 8
Stardust (USA), 105 mm Gun T5E1/45, 8
Stardust (USA), 105 mm Gun T5E1E, 8
Stardust (USA), 105 mm Gun T5E1M, 8
Stardust (USA), 105 mm Gun T8, 8
Stardust (USA), 105 mm T140 Y IV, 8
Stardust (USA), 105 mm T254A, 8
Stardust (USA), 105-mm Gun T5E1A, 8
Stardust (USA), 105mm Gun T140E5, 8
Stardust (USA), 120 mm AT Gun T53 (T28), 8
Stardust (USA), 120 mm AT Gun T53/28P, 8
Stardust (USA), 120 mm AT Gun T53/30, 8
Stardust (USA), 120 mm Gun T122, 8
Stardust (USA), 155 mm Gun M46, 8
Stardust (USA), 75 mm Ares ADMAG, 8
Stardust (USA), 75 mm Ares «Super», 8
Stardust (USA), 76 mm Gun M32 late, 8
Stardust (USA), 76 mm Gun M32 late, 8
Stardust (USA), 8,8 cm Kw.K. 43, 8
Stardust (USA), 8-inch Howitzer M1, 8
Stardust (USA), 90 mm Gun M36, 8
Stardust (USA), 90 mm Gun M41E1, 8
Stardust (USA), 90 mm Gun M41E1L, 8
Stardust (USA), 90 mm Gun M54, 8
Stardust (USA), 90 mm Gun T114, 8
Stardust (USA), 90 mm Gun T132E3, 8
Stardust (USA), 90 mm Gun T15E1, 8
Stardust (USA), 90 mm Gun T15E2M2, 8
Stardust (USA), 90 mm Gun T178, 8
Stardust (USA), 90 mm Gun T178 (T69), 8
Stardust (USA), 90 mm Gun T7E1, 8
Stardust (USA), 94 mm British DB Gun, 8
Stardust (USA), 105 mm Gun M68P, 9
Stardust (USA), 105 mm Gun T140E2, 9
Stardust (USA), 105 mm Gun T140E3, 9
Stardust (USA), 105 mm Gun T5E1M2, 9
Stardust (USA), 105 mm Gun T5E1M2, 9
Stardust (USA), 105 mm T141E5 AT, 9
Stardust (USA), 120 mm AT Gun T53 (T95), 9
Stardust (USA), 120 mm American British Gun, 9
Stardust (USA), 120 mm American British Gun RC, 9
Stardust (USA), 120 mm American British Gun RC, 9
Stardust (USA), 120 mm Delta SPHT, 9
Stardust (USA), 120 mm Gun M58 (M103), 9
Stardust (USA), 120 mm Gun T123E7, 9
Stardust (USA), 120 mm Gun T179 in Mount 169, 9
Stardust (USA), 120 mm Gun T53A1, 9
Stardust (USA), 120 mm Gun T53E1, 9
Stardust (USA), 120 mm T123E1, 9
Stardust (USA), 152 mm Gun-Launcher XM81 (conventional T49), 9
Stardust (USA), 155 mm AT Gun T7, 9
Stardust (USA), 155 mm AT Gun T7 (T95), 9
Stardust (USA), 155 mm AT Gun T7/30, 9
Stardust (USA), 8-inch Howitzer M47, 9
Stardust (USA), 85 mm Ares HVAC, 9
Stardust (USA), 85 mm Ares MC-AAAC, 9
Stardust (USA), 90mm Gun T208 (rifled) LTC, 9
Stardust (USA), EXP-7M, 9
Stardust (USA), 105 mm Gun M68, 10
Stardust (USA), 105 mm Gun M68, 10
Stardust (USA), 105 mm Gun M68A1E4, 10
Stardust (USA), 105 mm Gun T141, 10
Stardust (USA), 105 mm Lightweight Gun, 10
Stardust (USA), 120 mm 2B British Gun, 10
Stardust (USA), 120 mm AT Gun M58, 10
Stardust (USA), 120 mm Gun M58, 10
Stardust (USA), 120 mm Gun M58, 10
Stardust (USA), 120 mm Gun M58A, 10
Stardust (USA), 120 mm Gun T123E6, 10
Stardust (USA), 120 mm Gun T123E6/66, 10
Stardust (USA), 120 mm Gun T123E6C, 10
Stardust (USA), 120 mm Gun T124, 10
Stardust (USA), 120 mm Gun T179, 10
Stardust (USA), 120 mm Gun T179S, 10
Stardust (USA), 120 mm MPP Gun RHD, 10
Stardust (USA), 120 mm T123E2 SPG, 10
Stardust (USA), 120 mm T124, 10
Stardust (USA), 152 mm Gun-Launcher XM81 (conventional), 10
Stardust (USA), 155 mm AT Gun T7E3, 10
Stardust (USA), 155 mm AT Gun T7E4, 10
Stardust (USA), 155 mm Gun T7XM, 10
Stardust (USA), 155 mm Gun T7XM, 10
Stardust (USA), 165.1 mm M135E1, 10
Stardust (USA), 240 mm Howitzer M1, 10
Stardust (USA), 90 mm Ares LC-AAAC, 10
Stardust (USA), EXP-7, 10
Stardust (USA), 110 mm EXP-S, 11
Stardust (USA), 114 mm Gun M73, 11
Stardust (USA), 120 mm Gun T123E8, 11
Stardust (USA), 155 mm MPCS SEG, 11
Stardust (USA), 90 mm Ares 2000, 11


===== Schwarz Kreuz (Germany) =====
nation, name, tier
Schwarz Kreuz (Germany), 2 cm Breda (i), 1
Schwarz Kreuz (Germany), 2 cm Breda (i) (LTr), 1
Schwarz Kreuz (Germany), 2 cm Kw.K. 30, 1
Schwarz Kreuz (Germany), 2 cm Kw.K. 30, 1
Schwarz Kreuz (Germany), 2 cm Kw.K. 38, 1
Schwarz Kreuz (Germany), 2 cm Kw.K. 38, 1
Schwarz Kreuz (Germany), 2 cm Kw.K. 38 Ausf. F, 1
Schwarz Kreuz (Germany), 3,7 cm Kw.K. 34 (t) L/40, 1
Schwarz Kreuz (Germany), 3,7 cm Kw.K. 36 L/46.5f, 1
Schwarz Kreuz (Germany), 3,7 cm SA 38 L/34, 1
Schwarz Kreuz (Germany), 2 cm Flak 38, 2
Schwarz Kreuz (Germany), 2 cm Kw.K. 38 (II G), 2
Schwarz Kreuz (Germany), 3,7 cm Kw.K. 38 (t) L/47, 2
Schwarz Kreuz (Germany), 3,7 cm Kw.K. 38 (t) L/47, 2
Schwarz Kreuz (Germany), 3,7 cm Kw.K. D.T. 4804, 2
Schwarz Kreuz (Germany), 3,7 cm Pak (t) L/47, 2
Schwarz Kreuz (Germany), 3.7 cm Kw.K. 38 (t) L/47, 2
Schwarz Kreuz (Germany), 4,5 cm Kanone, 2
Schwarz Kreuz (Germany), 4,7 cm Kw.K. (t) L/43, 2
Schwarz Kreuz (Germany), 4,7 cm Pak (t) L/43, 2
Schwarz Kreuz (Germany), 4,7 cm SA 35 L/34, 2
Schwarz Kreuz (Germany), 4.5 cm 20K, 2
Schwarz Kreuz (Germany), 5 cm Kw.K. 38 L/42 Ausf. E, 2
Schwarz Kreuz (Germany), 7,92 mm Mauser E.W. 141, 2
Schwarz Kreuz (Germany), 10,5 cm le.F.H. 16 L/22, 3
Schwarz Kreuz (Germany), 15 cm s.I.G. 33 L/11, 3
Schwarz Kreuz (Germany), 2 cm Kw.K. 38 (II L), 3
Schwarz Kreuz (Germany), 3 cm M.K. 103 (II G), 3
Schwarz Kreuz (Germany), 4 cm Kw.K. 37M, 3
Schwarz Kreuz (Germany), 40 mm 37/42 M. L/45, 3
Schwarz Kreuz (Germany), 5 cm Kw.K. 38 L/42, 3
Schwarz Kreuz (Germany), 5 cm Kw.K. 38 L/42 Ausf. F, 3
Schwarz Kreuz (Germany), 5 cm Kw.K. 38 L/42 Ausf. J, 3
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 36 L/21, 3
Schwarz Kreuz (Germany), 7,5 cm Stu.K. 40 L/43 (B), 3
Schwarz Kreuz (Germany), 10,5 cm Stu.H. 42 L/28 (B), 4
Schwarz Kreuz (Germany), 10,5 cm le.F.H. 18 L/28, 4
Schwarz Kreuz (Germany), 15 cm s.I.G. 33 L/11 (Grille), 4
Schwarz Kreuz (Germany), 3 cm M.K. 103 (1602), 4
Schwarz Kreuz (Germany), 3 cm M.K. 103 (II L), 4
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60, 4
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60 (II L), 4
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60 Ausf. L, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 37 L/24, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 37 L/24, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 Ausf. H, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/43, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/43, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/43, 4
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 T 3001, 4
Schwarz Kreuz (Germany), 7,5 cm Pak 39 L/48 (B), 4
Schwarz Kreuz (Germany), 7,5 cm Pak 39 L/48 (G), 4
Schwarz Kreuz (Germany), 7,5 cm Stu.K. 40 L/43, 4
Schwarz Kreuz (Germany), 7,62 cm Pak 36 (r), 4
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/28, 5
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/28 Ausf. H, 5
Schwarz Kreuz (Germany), 10,5 cm Stu.H. 42 L/28, 5
Schwarz Kreuz (Germany), 114 mm:n Panssarivaunu Haupitsi 18, 5
Schwarz Kreuz (Germany), 15 cm s.F.H. 13 L/17, 5
Schwarz Kreuz (Germany), 15 cm s.F.H. 13 L/17 (Grille), 5
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60 (1602), 5
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60 (2801), 5
Schwarz Kreuz (Germany), 5 cm Kw.K. 39 L/60L1, 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48, 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48, 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48, 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48 (3002M), 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48 (K), 5
Schwarz Kreuz (Germany), 7,5 cm Kw.K. L/40, 5
Schwarz Kreuz (Germany), 7,5 cm Pak 39 L/48, 5
Schwarz Kreuz (Germany), 7,5 cm Pak 40/2 L/46, 5
Schwarz Kreuz (Germany), 7,5 cm Pak 40/3 L/46, 5
Schwarz Kreuz (Germany), 7,5 cm Pak 42 L/70 (G), 5
Schwarz Kreuz (Germany), 7,5 cm Pak 42 L/70 (IV), 5
Schwarz Kreuz (Germany), 7,5 cm Stu.K. 40 L/48, 5
Schwarz Kreuz (Germany), 7,5 cm StuK 40 L/48 (F), 5
Schwarz Kreuz (Germany), 7,5 cm Škoda A18, 5
Schwarz Kreuz (Germany), 7,5/5,5 cm Waffe 0725, 5
Schwarz Kreuz (Germany), 7,5/5,5 cm Waffe 0725 Ausf. A, 5
Schwarz Kreuz (Germany), 7.5 cm Kw.K. 40 L/48 SchF, 5
Schwarz Kreuz (Germany), 75 mm 43 M. L/43, 5
Schwarz Kreuz (Germany), 8,8 cm Pak L/56 (164), 5
Schwarz Kreuz (Germany), 10,5 cm Kanone 18, 6
Schwarz Kreuz (Germany), 15 cm s.F.H. 18 L/29.5, 6
Schwarz Kreuz (Germany), 15 cm s.F.H. 18 L/29.5 (Hummel), 6
Schwarz Kreuz (Germany), 7,5 cm Flak L/60, 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 40 L/48 (2801), 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70, 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70, 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70 (3002D), 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70 (3002M), 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70 Ausf. A, 6
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 44/1 L/70, 6
Schwarz Kreuz (Germany), 7,5 cm Pak 42 L/70, 6
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56 (3601), 6
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56 Ausf. E, 6
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56 Typ 100, 6
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56 Typ 101, 6
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71 (164), 6
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71 (JP), 6
Schwarz Kreuz (Germany), 8,8 cm Pak L/56 (IV), 6
Schwarz Kreuz (Germany), 90 mm D921 F1, 6
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/52, 7
Schwarz Kreuz (Germany), 10,5 cm Pak L/52 (JP), 7
Schwarz Kreuz (Germany), 12,8 cm Kanone 40, 7
Schwarz Kreuz (Germany), 12,8 cm Kanone 44 L/55 (Rhm), 7
Schwarz Kreuz (Germany), 15 cm s.F.H. 43, 7
Schwarz Kreuz (Germany), 17 cm Kanone 72 (GW P), 7
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70 (II), 7
Schwarz Kreuz (Germany), 7,5 cm Kw.K. 42 L/70 Ausf. G, 7
Schwarz Kreuz (Germany), 7,5/5,5 cm Waffe SP, 7
Schwarz Kreuz (Germany), 8,8 cm Flak 37 L/56, 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56, 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 36 L/56, 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71, 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71, 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71 (180A), 7
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71 Typ 101, 7
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71 (F), 7
Schwarz Kreuz (Germany), 8,8 cm Panzerkanone Muster 55 mit Zusatzkammern, 7
Schwarz Kreuz (Germany), 8.8 cm Kw.K. 43 L/71 (I), 7
Schwarz Kreuz (Germany), 8.8 cm Kw.K. 43 L/71 Ausf. E, 7
Schwarz Kreuz (Germany), 90 mm Mecar, 7
Schwarz Kreuz (Germany), 90 mm Mecar N, 7
Schwarz Kreuz (Germany), 90/76 mm US-Kanone M 32, 7
Schwarz Kreuz (Germany), 10,5 cm Bordkanone L7W, 8
Schwarz Kreuz (Germany), 10,5 cm Hochdruck-Panzerkanone Muster 56 mit Zusatzkammern, 8
Schwarz Kreuz (Germany), 10,5 cm Kanone 18, 8
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/52 (180A), 8
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/68, 8
Schwarz Kreuz (Germany), 10,5 cm Pak L/52, 8
Schwarz Kreuz (Germany), 10,5 cm Panzerkanone Muster 55 mit Zusatzkammern, 8
Schwarz Kreuz (Germany), 10.5 cm Kw.K. L/68 Ausf. B, 8
Schwarz Kreuz (Germany), 10.5 cm Kw.K. L/68 Ausf. B, 8
Schwarz Kreuz (Germany), 10.5 cm Kw.K. L/68 Ausf. E, 8
Schwarz Kreuz (Germany), 11 cm Mittelgeschw.-Kanone, 8
Schwarz Kreuz (Germany), 12 cm Kan L/60, 8
Schwarz Kreuz (Germany), 12,8 cm Kanone 44 L/55, 8
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/50, 8
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/50 (100), 8
Schwarz Kreuz (Germany), 12,8 cm Pak 44 L/55 (F), 8
Schwarz Kreuz (Germany), 12,8 cm Pak 44 L/55 (F), 8
Schwarz Kreuz (Germany), 12,8 cm Pak 44 L/55 (JT), 8
Schwarz Kreuz (Germany), 15 cm Pak L/29.5, 8
Schwarz Kreuz (Germany), 17 cm Kanone 72, 8
Schwarz Kreuz (Germany), 21 cm Mörser 18/1 (GW P), 8
Schwarz Kreuz (Germany), 8,8 cm Flak 41 L/74, 8
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71, 8
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71 (50), 8
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71 (II), 8
Schwarz Kreuz (Germany), 8,8 cm Kw.K. 43 L/71 (K), 8
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71, 8
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71, 8
Schwarz Kreuz (Germany), 8,8 cm Pak 43 L/71A, 8
Schwarz Kreuz (Germany), 8,8 cm Zwillingskanone L/71, 8
Schwarz Kreuz (Germany), 8.8 cm Kw.K. 43 L/71 mod.Vlt, 8
Schwarz Kreuz (Germany), 9 cm Kanone, 8
Schwarz Kreuz (Germany), 9 cm Kanone, 8
Schwarz Kreuz (Germany), 9 cm Kanone (I-P), 8
Schwarz Kreuz (Germany), 9 cm Kanone M41, 8
Schwarz Kreuz (Germany), 9 cm Kanone RhD, 8
Schwarz Kreuz (Germany), 90 mm Rh 69-1, 8
Schwarz Kreuz (Germany), 90 mm Rheinmetall DM1, 8
Schwarz Kreuz (Germany), 90 mm Rheinmetall DM1M, 8
Schwarz Kreuz (Germany), 10,5 cm Hochdruck-Panzerkanone Muster 57 mit Zusatzkammern, 9
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/52 Ausf. B, 9
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/52 Ausf. B, 9
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/70, 9
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/73, 9
Schwarz Kreuz (Germany), 10,5 cm L7A1, 9
Schwarz Kreuz (Germany), 100 mm Panzerkanone D-10T2S L/56, 9
Schwarz Kreuz (Germany), 12 cm Panzerkanone Rh2B, 9
Schwarz Kreuz (Germany), 12,8 cm Kanone 43 L/55, 9
Schwarz Kreuz (Germany), 12,8 cm Kanone L/61, 9
Schwarz Kreuz (Germany), 12,8 cm Kw.K. 44 L/55 (170), 9
Schwarz Kreuz (Germany), 12,8 cm Kw.K. 44 L/55 (180B), 9
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/50 A, 9
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/50 Ausf. A, 9
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/61K, 9
Schwarz Kreuz (Germany), 12,8 cm Pak 44/1 L/55, 9
Schwarz Kreuz (Germany), 12,8 cm Pak L/66, 9
Schwarz Kreuz (Germany), 12,8 cm Pak L/66, 9
Schwarz Kreuz (Germany), 12.8 cm Kw.K. 44 L/55 Ausf. B, 9
Schwarz Kreuz (Germany), 120 mm RhD, 9
Schwarz Kreuz (Germany), 15 cm Pak L/38, 9
Schwarz Kreuz (Germany), 15 cm Pak L/44, 9
Schwarz Kreuz (Germany), 21 cm Mörser 18/1, 9
Schwarz Kreuz (Germany), 90 mm Rheinmetall DM1, 9
Schwarz Kreuz (Germany), 10,5 cm Bordkanone L7, 10
Schwarz Kreuz (Germany), 10,5 cm Bordkanone L7A3, 10
Schwarz Kreuz (Germany), 10,5 cm Kw.K. L/52 Ausf. K, 10
Schwarz Kreuz (Germany), 10,5 cm L7A1 Kurz, 10
Schwarz Kreuz (Germany), 10,5 cm Panzerkanone L7A3, 10
Schwarz Kreuz (Germany), 10,5 cm RH GUN, 10
Schwarz Kreuz (Germany), 10,5 cm Rheinmetall V1, 10
Schwarz Kreuz (Germany), 105 mm Kanone, 10
Schwarz Kreuz (Germany), 105 mm Kanone L7 VM 68, 10
Schwarz Kreuz (Germany), 11 cm Hochdruck-Panzerkanone Muster 67 mit Zusatzkammern, Mündungsgeschwindigkeitsmessbasis und Zünderstellgerät, 10
Schwarz Kreuz (Germany), 12,8 cm Kanone L/61, 10
Schwarz Kreuz (Germany), 12,8 cm Kw.K. 44 L/55, 10
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/55 TM, 10
Schwarz Kreuz (Germany), 12,8 cm Kw.K. L/61, 10
Schwarz Kreuz (Germany), 12,8 cm Pak 44 L/55, 10
Schwarz Kreuz (Germany), 12.8 cm Kw.K. 44 L/55 Ausf. E, 10
Schwarz Kreuz (Germany), 120 mm Delta 1965, 10
Schwarz Kreuz (Germany), 120 mm L65 Versuchskanone, 10
Schwarz Kreuz (Germany), 15 cm Kw.K. L/38, 10
Schwarz Kreuz (Germany), 15 cm Kw.K. L/38, 10
Schwarz Kreuz (Germany), 15 cm Pak L/63, 10
Schwarz Kreuz (Germany), 15 cm TbtsK C/36, 10
Schwarz Kreuz (Germany), 17 cm Pak, 10
Schwarz Kreuz (Germany), 21 cm Mörser 21, 10
Schwarz Kreuz (Germany), 105 mm Rh 105-20, 11
Schwarz Kreuz (Germany), 12 cm Rheinmetall Geweih, 11
Schwarz Kreuz (Germany), 12 cm Rheinmetall L/44, 11
Schwarz Kreuz (Germany), 120 mm Glattrohr-Panzerkanone Muster 70 mit Zusatzkammern, Mündungsgeschwindigkeitsmessbasis und Zünderstellgerät, 11
Schwarz Kreuz (Germany), 13,2 cm Kw.K. L/66, 11


===== Oktyabrskiy (USSR) =====
nation, name, tier
Oktyabrskiy (USSR), 20 mm TNSh (T-60), 1
Oktyabrskiy (USSR), 37 mm B-3, 1
Oktyabrskiy (USSR), 37 mm B-3 (BT-2), 1
Oktyabrskiy (USSR), 37 mm Hotchkiss, 1
Oktyabrskiy (USSR), 45 mm mod. 1932, 1
Oktyabrskiy (USSR), 37 mm M5, 2
Oktyabrskiy (USSR), 37 mm ZiS-19 (T-60), 2
Oktyabrskiy (USSR), 45 mm 20K, 2
Oktyabrskiy (USSR), 45 mm 20K (BT-2), 2
Oktyabrskiy (USSR), 45 mm 20K (BT-5), 2
Oktyabrskiy (USSR), 45 mm 20K (T-70), 2
Oktyabrskiy (USSR), 45 mm 20KL, 2
Oktyabrskiy (USSR), 45 mm 20KS, 2
Oktyabrskiy (USSR), 76 mm Gun mod. 1902/30 30 clb, 2
Oktyabrskiy (USSR), 76 mm KT-28, 2
Oktyabrskiy (USSR), 76 mm Regimental Gun mod. 1927, 2
Oktyabrskiy (USSR), 37 mm ZiS-19, 3
Oktyabrskiy (USSR), 37 mm automatic OKB-2, 3
Oktyabrskiy (USSR), 45 mm 20K (BT-7), 3
